view,scope,element_id,category,near_face_w,fpp,export_dpi,view_scale,cap_applied,pad_x,pad_y,px_count,px_w,px_h,ref_du_ft,ref_dv_ft,ref_aspect,exc_umin_ft,exc_umax_ft,exc_vmin_ft,exc_vmax_ft,worst_ft,worst_px,clipped,touches_image_edge
Elevation 5 - a_630733,host,680958,Windows,25.24043226721426,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,5152,46,112,2.951788558337121,6.000000000000014,0.49196475972285236,-0.24365714424563834,-0.266002814344688,-0.0420145105102705,-0.011933246627975791,-0.011933246627975791,-0.2247749544982191,False,False
Elevation 5 - a_630733,host,680959,Windows,25.24043226721426,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,5152,46,112,2.951788558337121,6.0,0.49196475972285353,-0.24365714424565255,-0.26600281434467377,-0.008051350680688074,-0.04589640645752979,-0.008051350680688074,-0.1516554580090707,False,False
Elevation 5 - a_630733,host,681013,Windows,25.234242194677968,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,3818,46,83,2.951788558337114,6.000000000000014,0.49196475972285114,-0.23801974513232693,-0.27164021345798517,-0.022887918171122124,-1.5706626518509665,-0.022887918171122124,-0.4311174423741554,True,True
Elevation 5 - a_630733,host,681014,Windows,25.234242194677968,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,5152,46,112,2.951788558337114,6.000000000000014,0.49196475972285114,-0.23801974513232693,-0.27164021345798517,-0.04201451051029892,-0.01193324662794737,-0.01193324662794737,-0.22477495449768373,False,False
Elevation 5 - a_630733,host,681015,Windows,25.234242194677968,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,5152,46,112,2.951788558337107,6.0,0.49196475972285114,-0.23801974513233404,-0.27164021345797096,-0.008051350680716496,-0.04589640645750137,-0.008051350680716496,-0.15165545800960606,False,False
Elevation 5 - a_630733,host,681075,Windows,25.228052122141676,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,3818,46,83,2.951788558337107,6.000000000000014,0.49196475972285,-0.23238234601900842,-0.27727761257129657,-0.022887918171150545,-1.5706626518509381,-0.022887918171150545,-0.43111744237469074,True,True
Elevation 5 - a_630733,host,681076,Windows,25.228052122141676,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,5152,46,112,2.951788558337107,6.000000000000014,0.49196475972285,-0.23238234601900842,-0.27727761257129657,-0.04201451051032734,-0.011933246627918948,-0.011933246627918948,-0.22477495449714838,False,False
Elevation 5 - a_630733,host,681077,Windows,25.228052122141676,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,5152,46,112,2.951788558337107,6.0,0.49196475972285114,-0.23238234601900842,-0.27727761257129657,-0.008051350680744918,-0.04589640645747295,-0.008051350680744918,-0.1516554580101414,False,False
Elevation 5 - a_630733,host,755294,Generic Models,-5.3779198634624334,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,13696,118,468,73.48930942530572,45.50000000000051,1.6151496576990088,-32.33460933858136,-34.890109330852134,-13.75000000000017,-6.903995985185077,-6.903995985185077,-130.0438540998376,True,True
Elevation 5 - a_630733,host,818950,Windows,44.284120646621574,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,1,1,1,3.1511975151678833,5.000000000000014,0.6302395030335749,-1.7020163247204199,-1.3960914382790595,-0.036578921905814354,-4.910331325925796,-0.036578921905814354,-0.6890015570195263,False,False
Elevation 5 - a_630733,host,818951,Windows,34.452423330041526,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,1,1,1,3.1511975151678833,5.000000000000014,0.6302395030335749,-1.6656320306637191,-1.432475732335746,-0.24893793057941593,-4.697972317252194,-0.24893793057941593,-4.689001557018901,False,False
Elevation 5 - a_630733,host,818952,Windows,34.452423330041526,0.05308975216840869,150.0,96.0,False,1.8065277539409408,0.0,1,1,1,3.1511975151678833,5.000000000000014,0.6302395030335749,-1.6656320306637191,-1.432475732335746,-0.25265750924342,-4.694252738588176,-0.25265750924342,-4.7590636407936575,True,False
